index	biography	name	fullName
2773	KING, HON. JOHN (1706-40), e. s. of 1st B. King; Clare Camb. 1723; m. 1726 Elizabeth Fry; MP 1727-34; suc. fa. 1734 as 2nd B.; FRS 1735.	KING, HON. JOHN	Hon. John King
2774	KING, JOHN (c.1753-1823), quondam Jacob Rey, money lender and pamphleteer; m. 1 Deborah Lara (div. c.1785), 2 c.1785 Ldy. Jane Rochfort (1737-1828), dau. of 1st E. of Belvidere [I] and wid. of 2nd E. Lanesborough [I] (see Brinsley Butler); d. Florence.	KING, JOHN	John King
2775	KING, HON. PETER (1736-93), o. s. of 5th B. King; educ. Eton and Trin. Camb. 1756; m. 1774 Charlotte Tredcroft; suc. fa. 1779 as 6th B.	KING, HON. PETER	Hon. Peter King
2776	KING, PETER KING, 7TH BARON (1775-1833), o. s. of 6th B. King; suc. fa. 1793 as 7th B.; educ. Eton and Trin. Camb. 1793; m. 1804 Ldy. Hester Fortescue, dau. of 1st E. Fortescue.	KING, PETER KING, 7TH BARON	Peter King, 7th Baron King
2777	KING, MR and MRS	KING, MR and MRS	Mr And Mrs King
2778	KING	KING	King
2779	KINGDON, ROGER (1769-1851), St John's Camb. 1792; ord. 1796; MA 1804.	KINGDON, ROGER	Roger Kingdon
2780	KINGSMAN	KINGSMAN	Kingsman
2781	KINGSTON, EVELYN PIERREPONT, 2ND DUKE OF (1711-73), o. s. of William Pierrepont, sty. E. of Kingston; sty. E. of Kingston 1713-15, M. of Dorchester 1715-26 when suc. gd.-fa. as 2nd D. of Kingston; educ. Eton; Dilettanti 1738; KG 1741; army officer, col. 1745, maj.-gen. 1753, gen. 1772; m. 1769 Elizabeth Chudleigh.	KINGSTON, EVELYN PIERREPONT, 2ND DUKE OF	Evelyn Pierrepont, 2nd Duke Of Kingston
2782	KINGSTON, ELIZABETH (CHUDLEIGH), DUCHESS OF (c.1720-88), dau. of Col. Thomas Chudleigh; m. 1 1744 Hon. Augustus Hervey (later 3rd E. of Bristol), 2 [bigamously] 1769 2nd D. of Kingston (d. 1773); tried for bigamy 1776, acquitted as a peeress; resided abroad from 1776.	KINGSTON, ELIZABETH	Elizabeth Kingston
2783	KINGSTON, JAMES SETON, 3RD VISCOUNT (1667-c.1726), 7th s. of 1st Vct. Kingston [S]; suc. bro. 1714 as 3rd Vct.; m. 1714 Ldy. Anne Lindsay, dau. of 3rd E. of Balcarres [S], wid. of 4th E. of Kellie [S]; attainted 1716.	KINGSTON, JAMES SETON, 3RD VISCOUNT	James Seton, 3rd Viscount Kingston
2784	KINGSTON, WILLIAM	KINGSTON, WILLIAM	William Kingston
2785	KINLOCH	KINLOCH	Kinloch
2786	KINLOCK, CAPT.	KINLOCK, CAPT.	Capt. Kinlock
2787	KINNAIRD, CHARLES, probably Charles Kinnaird, d. before 1727, 5th s. of 1st B. Kinnaird [S].	KINNAIRD, CHARLES, probably Charles Kinnaird, d. before 1727, 5th s. of 1st B. Kinnaird [S].	Charles Kinnaird
2788	KINNAIRD, PATRICK KINNAIRD, 3RD BARON (c.1682-1715), 1st surv. s. of 2nd B. Kinnaird [S]; m. 1 1702 Ldy. Henrietta Maria Murray, (d. 1702) dau. of 1st E. of Dunmore [S], 2 Ldy. Elizabeth Lyon, dau. of 1st E. of Strathmore and Kinghorne [S], wid. of 2nd E. of Aboyne [S]; suc. fa. 1701 as 3rd B. Kinnaird [S].	KINNAIRD, PATRICK KINNAIRD, 3RD BARON	Patrick Kinnaird, 3rd Baron Kinnaird
2789	KINNOULL, GEORGE HAY, 8TH EARL OF (d. 1758), s. of 7th E. of Kinnoull [S]; sty. Vct. Dupplin 1709-19 when suc. fa. as 8th E.; m. c.1709 Ldy. Abigail Harley, dau. of 1st E. of Oxford; MP 1710-11; FRS 1712; amb. Constantinople 1729-34.	KINNOULL, GEORGE HAY, 8TH EARL OF	George Hay, 8th Earl Of Kinnoull
2790	KINSLEY	KINSLEY	Kinsley
2791	KIOCH, WILLIAM	KIOCH, WILLIAM	William Kioch
2792	KIRBY, WILLIAM (c.1743-71), architect, s. of John Joshua Kirby, with whom made jt. Clerk of Works at Richmond and Kew 1761; studied under Gainsborough 1759; exh. SA 1765.	KIRBY, WILLIAM	William Kirby
2793	KIRKE, THOMAS (d. 1710); cons. Genoa c.1682-1710; d. Genoa.	KIRKE, THOMAS	Thomas Kirke
2794	KIRKPATRICK, SIR THOMAS, probably Sir Thomas Kirkpatrick (c.1704-71)), 3rd Bt. of Closeburn, Dumfries.	KIRKPATRICK, SIR THOMAS, probably Sir Thomas Kirkpatrick	Sir Thomas Kirkpatrick
2795	KITCHENMAN, TIMOTHY	KITCHENMAN, TIMOTHY	Timothy Kitchenman
2796	KIVERLEY (fl.1738-89), landscape painter and dealer; awarded premium Dublin Soc. 1740.	KIVERLEY	Kiverley
2797	KNAPTON, GEORGE (1698-1778), painter; studied with Jonathan Richardson 1715-22; Dilettanti 1736 and official painter to the soc.; keeper of the King's pictures 1765.	KNAPTON, GEORGE	George Knapton
2798	KNATCHBULL	KNATCHBULL	Knatchbull
2799	KNATCHBULL-WYNDHAM, SIR WYNDHAM, 6TH BT. (1737-63) of Mersham Hatch, Kent, o. s. of Sir Wyndham-Knatchbull-Wyndham; suc. fa. 1749 as 6th Bt.; Wadham Oxf. 1754; MP 1760-3; unm.	KNATCHBULL-WYNDHAM, SIR WYNDHAM, 6TH BT.	Sir Wyndham, 6th Bt. Knatchbull-Wyndham
2800	KNIGHT, CORNELIA (1757-1837), authoress, dau. of Adml. Sir Joseph Knight by his 2nd wife, Phillipina; gov. to Ps. Charlotte 1813-15; wrote Description of Latium or, La Campagna di Roma [1805]; see Phillipina, Lady Knight.	KNIGHT, CORNELIA	Cornelia Knight
2801	KNIGHT, EDWARD, of Kent	KNIGHT, EDWARD, of Kent	Edward Knight
2802	KNIGHT, HON. HENRY (1728-62) of Barrells, War, o. s. of 1st B. Luxborough [I]; MP 1761-2; m. 1750 Frances Heath; see Peter Crommelin.	KNIGHT, HON. HENRY	Hon. Henry Knight
2803	KNIGHT, PHILLIPINA (DEANE), LADY (1726-99), yr. dau. of Anthony Deane of Harwich; m. by 1756 Adml. Sir Joseph Knight (d. 1775); d. Palermo.	KNIGHT, PHILLIPINA	Phillipina Knight
2804	KNIGHT, RICHARD PAYNE (1751-1824), classical scholar and collector, of Downton Castle, Herefs, e. s. of Rev. Thomas Knight of Hereford; MP 1780-1806; Dilettanti 1781; wrote Analytical Inquiry into the Principles of Taste [1805]; unm.	KNIGHT, RICHARD PAYNE	Richard Payne Knight
2805	KNIGHT, ROBERT (d. 1744) of Barrells, War, fa. of Robert Knight, 1st E. of Catherlough.	KNIGHT, ROBERT	Robert Knight
2806	KNIGHT, ROBERT (1702-72) of Barrells, War, o. s. of Robert Knight; I. Temple 1719; m. 1 1727 Hon. Henrietta St John (d. 1756), dau. of Vct. St John, 2 1756 Mary, Ldy. Le Quesne, a wid.; MP 1734-54, 1762-8, 1770-2; cr. B. Luxborough [I] 1745, E. of Catherlough [I] 1763; KB 1770; see Robert Knight (d. 1744).	KNIGHT, ROBERT	Robert Knight
2807	KNIGHT, RUDOLPH	KNIGHT, RUDOLPH	Rudolph Knight
2808	KNIGHT, R.	KNIGHT, R.	R. Knight
2809	KNIGHT, WILLIAM	KNIGHT, WILLIAM	William Knight
2810	KNIGHT, CAPT.	KNIGHT, CAPT.	Capt. Knight
2811	KNIGHTLEY, VALENTINE (1744-96) of Fawsley, Northants, 2nd s. of Valentine Knightley; BNC Oxf. 1762.	KNIGHTLEY, VALENTINE	Valentine Knightley
2812	KNIPE, EDWARD, of London	KNIPE, EDWARD, of London	Edward Knipe
2813	KNOWLES, CAPT.	KNOWLES, CAPT.	Capt. Knowles
2814	KNOX, ARTHUR	KNOX, ARTHUR	Arthur Knox
2815	KYNASTON, ROGER (c.1710-88) of Shrewsbury, Salop., 3rd s. of John Kynaston MP; m. 1752 Mary Powell; see John Frederick.	KYNASTON, ROGER	Roger Kynaston
2816	LACOME, see Edward, Viscount Hinchingbrooke	LACOME	Lacome
2817	LACY	LACY	Lacy
2818	LAFEVRE	LAFEVRE	Lafevre
2819	LAIDE, possibly John Lade, c.1731-59, of Warbledon, Sx.; MP 1754-9; cr. Bt. 1758.	LAIDE, possibly John Lade, c.1731-59, of Warbledon, Sx.	Laide
2820	LALLY	LALLY	Lally
2821	LAMB, MRS GEORGE, see Caroline St Jules	LAMB, MRS GEORGE	Mrs George Lamb
2822	LAMB, GEORGE (c.1658-1719), merchant.	LAMB, GEORGE	George Lamb
2823	LAMBERT, BENJAMIN and FRANCIS	LAMBERT, BENJAMIN and FRANCIS	Benjamin And Francis Lambert
2824	LAMBERT, JOHN, of London.	LAMBERT, JOHN, of London.	John Lambert
2825	LAMBERT, SAMUEL, merchant.	LAMBERT, SAMUEL, merchant.	Samuel Lambert
2826	LAMBERT, WILLIAM	LAMBERT, WILLIAM	William Lambert
2827	LAMBERT	LAMBERT	Lambert
2828	LAMBTON, WILLIAM HENRY (1764-97) of Lambton Hall, Durham, e. s. of John Lambton; educ. Eton and Trin. Camb. 1782; m. 1791 Ldy. Anne Barbara Villiers, dau. of 4th E. of Jersey; MP 1787-97; d. Pisa.	LAMBTON, WILLIAM HENRY	William Henry Lambton
2829	LAMY, HENRY, see James Chesnutt	LAMY, HENRY	Henry Lamy
2830	LANDAFF, FRANCIS MATHEW, 1ST BARON (1738/44-1806), o. s. of Thomas Mathew of Thomastown and Thurles Castle, Tipperary, and Llandaff, Glam.; Trin. Dublin 1761; m. 1 1764 Ellis [Elisha] Smyth (d. 1781), 2 1784 Ldy. Catherine Skeffington (1752-96), dau. of 1st E. of Massereene [I], 3 1799 Miss Coghlan; MP [I] 1768-83; cr. B. Landaff [I] 1783, Vct. Landaff [I] 1793 and E. of Landaff [I] 1797.	LANDAFF, FRANCIS MATHEW, 1ST BARON	Francis Mathew, 1st Baron Landaff
2831	LANE, THEOPHILUS (c.1718-92) of Hereford.	LANE, THEOPHILUS	Theophilus Lane
2832	LANESBOROUGH, 2ND EARL OF, see Hon. Brinsley Butler	LANESBOROUGH, 2ND EARL OF	2nd Earl Of Lanesborough
2833	LANESBOROUGH, JANE ISABELLA (ROCHFORT), COUNTESS OF (1737-1828), dau. of 1st E. of Belvidere [I]; m. 1 1754 2nd E. of Lanesborough [I] (d. 1779); 2 c.1785 John King; see John King (c.1753-1823), and Brinsley Butler.	LANESBOROUGH, JANE ISABELLA	Jane Isabella Lanesborough
2834	LANGDALE, see Edward Howard	LANGDALE	Langdale
2835	LANGFORD, LORD, presumably Hercules Rowley, 2nd Vct. Langford [I], 1737-96, 1st surv. s. of Hercules Rowley; MP 1783-91 [I]; suc. mo. 1791 as 2nd Vct.; unm.	LANGFORD, LORD, presumably Hercules Rowley, 2nd Vct. Langford [I], 1737-96, 1st surv. s. of Hercules Rowley	Lord Langford
2836	LANGHORNE, THOMAS (d. 1713)	LANGHORNE, THOMAS	Thomas Langhorne
2837	LANGLEY, ANTHONY and MRS	LANGLEY, ANTHONY and MRS	Anthony And Mrs Langley
2838	LANGLEY	LANGLEY	Langley
2839	LANGLOIS, BENJAMIN (1727-1802), 4th s. of Peter Langlois (c.1672-1737); Ch.Ch. Oxf. 1745; MP 1768-80; sec. Vienna 1763-71; Dilettanti 1777; unm.	LANGLOIS, BENJAMIN	Benjamin Langlois
2840	LANGLOIS, CHRISTOPHER, e. s. of Peter Langlois (c.1672-1737).	LANGLOIS, CHRISTOPHER, e. s. of Peter Langlois	Christopher Langlois
2841	LANGLOIS, JACKY, probably John Langlois, 2nd s. of Peter Langlois, and probably the John Langlois who d. in London 1789.	LANGLOIS, JACKY, probably John Langlois, 2nd s. of Peter Langlois, and probably the John Langlois who d. in London 1789.	Jacky Langlois
2842	LANGLOIS, PETER (c.1672-1737), Huguenot merchant, naturalised 1707; served with the English army 1692; m. Julie de Monceau de la Meloniere (c.1691-1727); d. Leghorn.	LANGLOIS, PETER	Peter Langlois
2843	LANGTON, GEORGE LEWIS (c.1716-38) of Abernantbychan, Card., s. of John Langton of Westminster; Magd. Oxf. 1731; L.Inn 1731; d. Rome.	LANGTON, GEORGE LEWIS	George Lewis Langton
2844	LANSDOWNE, 1ST MARQUESS OF, see William, 2nd Earl of Shelburne	LANSDOWNE, 1ST MARQUESS OF	1st Marquess Of Lansdowne
2845	LANSDOWNE, 2ND MARQUESS OF, see John, Earl of Wycombe	LANSDOWNE, 2ND MARQUESS OF	2nd Marquess Of Lansdowne
2846	LA ROCHE, SIMON, see Francis Hammond	LA ROCHE, SIMON	Simon La Roche
2847	LASCELLES, CHARLES	LASCELLES, CHARLES	Charles Lascelles
2848	LASCELLES, EDWIN (1713-95), e. s. of Henry Lascelles of Harewood, Yorks, and Barbados; I.Temple 1731; Trin. Camb. 1732; MP 1744-90; m. 1 1747 Elizabeth Dawes (d. 1764), 2 1770 Jane Coleman, wid. of Sir John Fleming; Dilettanti 1742; cr. B. Harewood 1790; see Lancelot Allgood.	LASCELLES, EDWIN	Edwin Lascelles
2849	LASCELLES, see James Clitherow	LASCELLES	Lascelles
2850	LA TOUCHE, DAVID DIGUES (1729-1817), collector, 2nd s. David Digues La Touche (1671-1745), Huguenot refugee, of Bellvue; first gov. of the Bank of Ireland 1783-91; m. Elizabeth Morley, dau. of the Bp. of Dromore.	LA TOUCHE, DAVID DIGUES	David Digues La Touche
2851	LA TOUCHE, JOHN (1772-1838), collector, s. of David Digues La Touche.	LA TOUCHE, JOHN	John La Touche
2852	LAW, JOHN (1671-1729), financier, of Lauriston, Midloth., 1st surv. s. of William Law, goldsmith, of Edinburgh; condemned to death for murder 1694, he escaped abroad; m. c.1700 Ldy. Katherine Knollys, dau. of titular 3rd E. of Banbury, and w. of M. Seignieur; controller-general of French finance 1720; d. Venice.	LAW, JOHN	John Law
2853	LAW, JOHN (c.1703-34), s. of the financier John Law; army officer in the Austrian service; see John Law (1671-1729).	LAW, JOHN	John Law
2854	LAW, MR and MRS	LAW, MR and MRS	Mr And Mrs Law
2855	LAWE, MAJ.	LAWE, MAJ.	Maj. Lawe
2856	LAWLESS, PATRICK, see Mr and Mrs Cameron	LAWLESS, PATRICK	Patrick Lawless
2857	LAWLESS	LAWLESS	Lawless
2858	LAWRENCE, RICHARD	LAWRENCE, RICHARD	Richard Lawrence
2859	LAWRENCE, WALTER, friend of Canova, he resided some time in Italy; he built Lisreaghan House, Lawrencetown (Echoes, Eyrecourt Heritage Soc., 1988, 34-5).	LAWRENCE, WALTER, friend of Canova, he resided some time in Italy	Walter Lawrence
2860	LAWRENCE	LAWRENCE	Lawrence
2861	LAWS	LAWS	Laws
2862	LAWSON, HENRY (1751-1834), 2nd s. of Sir Henry Lawson, 4th Bt. of Brough Hall, Yorks; studied at St Omer; in 1772 took name of Maire; suc. bro. 1811 as 6th Bt.; m. 1 1773 Monica Stapleton (d. 1800), 2 1801 Catherine Fermor; compiled Arms and Pedigrees of Various Roman Catholic Families in England [1792-5].	LAWSON, HENRY	Henry Lawson
2863	LAWSON, ISAAC, merchant of Leeds.	LAWSON, ISAAC, merchant of Leeds.	Isaac Lawson
2864	LAWSON, WILFRED	LAWSON, WILFRED	Wilfred Lawson
2865	LAWSON, SIR WILFRED, 3RD BT. (1697-1737) of Isel, Cumb.; e. s. of Sir Wilfred Lawson; suc. fa. 1705 as 3rd Bt.; Queen's Oxf. 1713; I.Temple 1715; m. 1724 Elizabeth Mordaunt; MP 1718-37.	LAWSON, SIR WILFRED, 3RD BT.	Sir Wilfred, 3rd Bt. Lawson
2866	LAWSON	LAWSON	Lawson
2867	LAYER, CHRISTOPHER (1683-1723) of Booton, Norf.; Jacobite conspirator; G.Inn; executed for treason.	LAYER, CHRISTOPHER	Christopher Layer
2868	LEAKE, NICHOLAS	LEAKE, NICHOLAS	Nicholas Leake
2869	LEANE, MRS	LEANE, MRS	Mrs Leane
2870	LEARY	LEARY	Leary
2871	LECHMERE, LADY ELIZABETH (HOWARD) (d. 1739), dau. of 3rd E. of Carlisle; m. 1 1719 Nicholas Lechmere, cr. B. Lechmere 1721 (d. 1727), 2 1728 Sir Thomas Robinson; see Thomas Robinson (c.1702-77).	LECHMERE, LADY ELIZABETH	Lady Elizabeth Lechmere
2872	LECKIE, see Maj. Chapman	LECKIE	Leckie
2873	LEE, LT. CHARLES (1731-82), military adventurer, nephew of Sir William Bunbury; maj.-gen. in American revolutionary army 1775-9.	LEE, LT. CHARLES	Lt. Charles Lee
2874	LEE, EDWARD	LEE, EDWARD	Edward Lee
2875	LEE, ADMIRAL HON. FITZROY HENRY (1699- 1750), 8th s. of 1st E. of Lichfield; naval officer, lt. 1721, capt. 1728, r.-adml. 1747; v.-adml. 1748; gov. of Newfoundland 1735-8.	LEE, ADMIRAL HON. FITZROY HENRY	Admiral Hon. Fitzroy Henry Lee
2876	LEE, JAMES, possibly James Lee, 1722-1808, merchant at Salonica and Smyrna 1738-61; returned to England in 1761; m. Elizabeth Leake (cf. M. Hopkinson, Burl.Mag., 132[1990]: 794).	LEE, JAMES, possibly James Lee, 1722-1808, merchant at Salonica and Smyrna 1738-61	James Lee
2877	LEE, RALPH, merchant.	LEE, RALPH, merchant.	Ralph Lee
2878	LEE, WILLIAM (c.1726-78) of Totteridge Park, Herts, o. s. of Sir William Lee, Kt.; Clare Camb. 1744; m. Philadelphia Dyke; suc. fa. 1754.	LEE, WILLIAM	William Lee
2879	LEE, MONSIGNOR	LEE, MONSIGNOR	Monsignor Lee
2880	LEE	LEE	Lee
2881	LEEDS, PEREGRINE OSBORNE, 2ND DUKE OF (1659-1729), 1st surv. s. of 1st D. of Leeds; cr. Vct. Osborne [S] 1674; MP 1677, 1679, 1689; m. 1682 Bridget Hyde; sty. E. of Danby 1689-94, M. of Carmarthen 1694-1712 when suc. fa. as 2nd D.; naval officer, capt. 1690, r.-adml. 1697, v.-adml. 1703.	LEEDS, PEREGRINE OSBORNE, 2ND DUKE OF	Peregrine Osborne, 2nd Duke Of Leeds
2882	LEEDS, THOMAS OSBORNE, 4TH DUKE OF (1713-89), o. s. of 3rd D. of Leeds; sty. E. of Danby 1713-29, M. of Carmarthen 1729-31 when suc. fa. as 4th D.; educ. Westminster and Ch.Ch. Oxf. 1731; FRS 1739; m. 1740 Ldy. Mary Godolphin, dau. of 2nd E. Godolphin; KG 1749.	LEEDS, THOMAS OSBORNE, 4TH DUKE OF	Thomas Osborne, 4th Duke Of Leeds
2883	LEEDS, 5TH DUKE OF, see Francis, Marquess of Camarthen	LEEDS, 5TH DUKE OF	5th Duke Of Leeds
2884	LEEDS, 6TH DUKE OF, see George, Marquess of Camarthen	LEEDS, 6TH DUKE OF	6th Duke Of Leeds
2885	LEESON, JOSEPH (1711-83), collector and patron, of Russborough, Co. Wicklow, o. s. of Joseph Leeson; m. 1 1729 Cecilia Leigh (d. 1737), 2 1739 Anne Preston (d. 1766), 3 1768 Elizabeth French; MP [I] 1743-56; cr. B. Russborough [I] 1756, Vct. Russborough [I] 1760, and E. of Milltown [I] 1763.	LEESON, JOSEPH	Joseph Leeson
2886	LEESON, JOSEPH (1730-1801), s. of 1st E. of Milltown [I]; educ. Eton; MP 1757-60 [I]; sty. Vct. Russborough [I] 1763-83 when suc. fa. as 2nd E.; unm.	LEESON, JOSEPH	Joseph Leeson
2887	LEESON, either HON. WILLIAM (1770-1819) or HON. ROBERT (1773-1850), the sons of Joseph Leeson, 1st E. of Milltown [I].	LEESON, either HON. WILLIAM	Leeson
2888	LEFROY, ANTHONY (1704-79), Huguenot merchant from Canterbury; m. 1738 Elizabeth Langlois, dau. of Peter Langlois, merchant at Leghorn.	LEFROY, ANTHONY	Anthony Lefroy
2889	LEFROY, FEBE (b. c.1741), b. Leghorn, dau. of Anthony Lefroy.	LEFROY, FEBE	Febe Lefroy
2890	LEGARD, SIR DIGBY, 5TH BT. (d. 1773) of Ganton, Yorks, o. s. of Sir Thomas Legard; suc. fa. 1735 as 5th Bt.; m. 1755 Jane Cartwright.	LEGARD, SIR DIGBY, 5TH BT.	Sir Digby, 5th Bt. Legard
2891	LEGARD, SIR JOHN, 6TH BT. (c.1758-1807) of Ganton, Yorks, e. s. of Sir Digby Legard; suc. fa. 1773 as 6th Bt.; m. 1782 Jane Aston (d. 1833).	LEGARD, SIR JOHN, 6TH BT.	Sir John, 6th Bt. Legard
2892	LEGARD, MAJ., see Capt. Dunvar	LEGARD, MAJ.	Maj. Legard
2893	LEGGE, HENEAGE (1747-1827) of Aston, Staffs; e. s. of Hon. Heneage Legge, B. of the Exchequer; m. 1786 Elizabeth Musgrave.	LEGGE, HENEAGE	Heneage Legge
2894	LEGGE, HENRY, presumably Hon. Henry Bilson Legge, 1706-64, 4th s. of 1st E. of Dartmouth; Ch.Ch. Oxf. 1726; MP 1740-64; Dilettanti 1742; m. 1750 Hon. Mary Stawell, dau. of 4th B. Stawell; took the name of Bilson 1754; chancellor of the Exchequer 1754-5, 1756- 7, 1757-61.	LEGGE, HENRY, presumably Hon. Henry Bilson Legge, 1706-64, 4th s. of 1st E. of Dartmouth	Henry Legge
2895	LEGGE, JOHN	LEGGE, JOHN	John Legge
2896	LEGH, CAPT., see Justin, 5th Earl of Fingall	LEGH, CAPT.	Capt. Legh
2897	LEGH, see Anderson 1765	LEGH	Legh
2898	LEICESTER, 1ST EARL OF, see Thomas Coke	LEICESTER, 1ST EARL OF	1st Earl Of Leicester
2899	LEICESTER, 1ST EARL OF, see Thomas William Coke	LEICESTER, 1ST EARL OF	1st Earl Of Leicester
2900	LEICESTER, SIR FRANCIS, 3RD BT. (1674- 1742), 1st surv. s. of Sir Robert Leicester of Tabley, Ches.; suc. fa. 1684 as 3rd Bt.; educ. Eton and St John's Camb. 1692; M.Temple 1694; m. [1701-5] Frances Wilson (d. 1716); MP 1715-27.	LEICESTER, SIR FRANCIS, 3RD BT.	Sir Francis, 3rd Bt. Leicester
2901	LEICESTER, SIR JOHN FLEMING, 5TH BT. (1762-1827), collector, of Tabley Ho., Ches.; 1st surv. s. of Sir Peter Leicester; suc. fa. 1770 as 5th Bt.; Trin. Camb. 1781; MP 1791-1802, 1807; m. 1810 Georgina Maria Cottin; cr. B. de Tabley 1826.	LEICESTER, SIR JOHN FLEMING, 5TH BT.	Sir John Fleming, 5th Bt. Leicester
2902	LEICESTER	LEICESTER	Leicester
2903	LEIGH, JAMES, of Addlestrop, Oxon., uncle and correspondent of Sir Gregory Page Turner who wrote to him from Florence, 1 Oct. 1768, 'You, I think, have seen Turin, & therefore it will be needless for me to give any further description' (Turner letters MSS).	LEIGH, JAMES, of Addlestrop, Oxon., uncle and correspondent of Sir Gregory Page Turner who wrote to him from Florence, 1 Oct. 1768,	James Leigh
2904	LEIGH, ROGER, merchant.	LEIGH, ROGER, merchant.	Roger Leigh
2905	LEIGH, WILLIAM, see Edward, Viscount Cornbury	LEIGH, WILLIAM	William Leigh
2906	LEIGH, LT., see Capt. Henry George Clinton	LEIGH, LT.	Lt. Leigh
2907	LEIGH	LEIGH	Leigh
2908	LEIGHTON, CAPT. GERARD	LEIGHTON, CAPT. GERARD	Capt. Gerard Leighton
2909	LEIGHTON	LEIGHTON	Leighton
2910	LEINSTER, JAMES FITZGERALD, 1ST DUKE OF (1722-73), 1st surv. s. of 19th E. of Kildare [I]; sty. Ld. Offaly -1744 when suc. fa. as 20th E.; MP [I] 1741-4; m. 1747 Ldy. Emilia Lennox, dau. of 2nd D. of Richmond; cr. Vct. Leinster 1747, M. of Kildare [I] 1761, D. of Leinster [I] 1766.	LEINSTER, JAMES FITZGERALD, 1ST DUKE OF	James Fitzgerald, 1st Duke Of Leinster
2911	LEINSTER, 2ND DUKE OF, see William, Marquess of Kildare	LEINSTER, 2ND DUKE OF	2nd Duke Of Leinster
2912	LEITH, PATRICK (c.1688-1760)	LEITH, PATRICK	Patrick Leith
2913	LEITH, ABBATE (d. 1702)	LEITH, ABBATE	Abbate Leith
2914	LEITH, a Scot.	LEITH, a Scot.	Leith
2915	LEITRIM, 1ST EARL OF, see Robert Clements	LEITRIM, 1ST EARL OF	1st Earl Of Leitrim
2916	LEKEUX, JOHN, banker.	LEKEUX, JOHN, banker.	John Lekeux
2917	LEMAN	LEMAN	Leman
2918	LENNOX, LORD GEORGE HENRY (1737-1805) of West Stoke, Sx., 2nd surv. s. of 2nd D. of Richmond; educ. Westminster; army officer, ensign 2 Ft.Gds. 1754, lt.-col. 1758, col. 1762, gen.1793; m. 1759 Ldy. Louisa Kerr, dau. of 4th M. of Lothian [S]; MP 1761-90; sec. Paris 1765-6.	LENNOX, LORD GEORGE HENRY	Lord George Henry Lennox
2919	LEOMINSTER, 2ND BARON, see Thomas, 1st Earl of Pomfret	LEOMINSTER, 2ND BARON	2nd Baron Leominster
2920	LEOMINSTER, GEORGE FERMOR, LORD (1722-85), duellist, 1st surv. s. of 1st E. of Pomfret; sty. Ld. Leominster [Lempster] -1753 when suc. fa. as 2nd E.; educ. Westminster; army officer, 4th Hse. and 2nd Coldstream Ft. Gds.; m. 1764 Anna Draycott [Delagard]; see Thomas, 1st Earl of Pomfret.	LEOMINSTER, GEORGE FERMOR, LORD	George Fermor, Lord Leominster
2921	LESLIE, REV. CHARLES	LESLIE, REV. CHARLES	Rev. Charles Leslie
2922	LESLIE, ERNEST, see John Cotton	LESLIE, ERNEST	Ernest Leslie
2923	LESLIE, GEORGE, see Thomas Hay	LESLIE, GEORGE	George Leslie
2924	LESLIE, HENRY	LESLIE, HENRY	Henry Leslie
2925	LESLIE, MRS LAURA	LESLIE, MRS LAURA	Mrs Laura Leslie
2926	LESLIE	LESLIE	Leslie
2927	LESLY, THOMAS, from Scotland.	LESLY, THOMAS, from Scotland.	Thomas Lesly
2928	LESTRANGE, HAMON (1687-1715), e. s. of Sir Nicholas L'Estrange of Hunstanton, Norf.; Ch.Ch. Oxf. 1706; d. Basle; unm.; see Henry Lee Warner.	LESTRANGE, HAMON	Hamon Lestrange
2929	LETHIEULLIER, BENJAMIN (1729-97) of Belmont, Mx., and Middleton, Hants, 1st surv. s. of Christopher Lethieullier, dir. of the Bank of England; suc. fa. 1736; MP 1768-97; unm.; see Lascelles Iremonger.	LETHIEULLIER, BENJAMIN	Benjamin Lethieullier
2930	LETHIEULLIER, JOHN	LETHIEULLIER, JOHN	John Lethieullier
2931	LETHIEULLIER, SMART (d. 1760), antiquary, of Aldersbrooke, Essex, s. of John Lethieullier, a merchant; FRS 1723; m. Margaret Sloper (c.1707- 53).	LETHIEULLIER, SMART	Smart Lethieullier
2932	LETTEN, JOHN	LETTEN, JOHN	John Letten
2933	LETTICE, REV. JOHN (1737-1832), see William Beckford (1759-1844)	LETTICE, REV. JOHN	Rev. John Lettice
2934	LEVEN, 9TH EARL OF, see Alexander, Lord Balgonie	LEVEN, 9TH EARL OF	9th Earl Of Leven
2935	LEVESON-GOWER, LORD GRANVILLE (1773-1846), statesman, 2nd s. of 1st M. of Stafford; Ch.Ch. Oxf. 1789; in Holland, Germany and Russia 1792; MP 1795-1815; amb. St Petersburg 1798, 1804-5, 1807, The Hague 1823, Paris 1824-8, 1830-5 and 1835-41; m. 1809 Ldy. Harriet Cavendish, dau. of 5th D. of Devonshire; cr. Vct Granville 1815, E. Granville 1833.	LEVESON-GOWER, LORD GRANVILLE	Lord Granville Leveson-Gower
2936	LEVINGE, SIR RICHARD, 2ND BT. (c.1690- 1748) of Mullalea, co. Westmeath, s. of Sir Richard Levinge; suc. fa. 1724 as 2nd Bt.; see Campbell 1729-30, Mary, Countess Ferrers and Col. William Kennedy.	LEVINGE, SIR RICHARD, 2ND BT.	Sir Richard, 2nd Bt. Levinge
2937	LEWIN, MRS, see Mrs Coleby	LEWIN, MRS	Mrs Lewin
2938	LEWIS, DAVID, from Ireland.	LEWIS, DAVID, from Ireland.	David Lewis
